service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
59001_merged_13213208,20220103,20220417,0,0,0,0,0,0,0
75401_merged_13213218,20220103,20220417,0,0,0,0,0,0,0
HD_merged_13213239,20220418,20220626,1,1,1,1,1,1,1
75301_merged_13213225,20220103,20220417,0,0,0,0,0,0,0
32603_merged_13213234,20220418,20220626,0,0,0,0,0,0,0
152301_merged_13213251,20220418,20220626,0,0,0,0,0,0,0
62201_merged_13213203,20220103,20220417,0,0,0,0,0,0,0
152302_merged_13213253,20220418,20220626,0,0,0,0,0,0,0
1201_merged_13213235,20220418,20220626,0,0,0,0,0,0,0
2_merged_13213246,20220418,20220626,0,0,0,0,0,1,0
152303_merged_13213222,20220103,20220417,0,0,0,0,0,0,0
169801_merged_13213227,20220103,20220417,0,0,0,0,0,0,0
59101_merged_13213240,20220418,20220626,0,0,0,0,0,0,0
1901_merged_13213247,20220418,20220626,0,0,0,0,0,0,0
152201_merged_13213249,20220418,20220626,0,0,0,0,0,0,0
75301_merged_13213255,20220418,20220626,0,0,0,0,0,0,0
1901_merged_13213217,20220103,20220417,0,0,0,0,0,0,0
3_merged_13213245,20220418,20220626,0,0,0,0,0,0,1
162601_merged_13213207,20220103,20220417,0,0,0,0,0,0,0
101_merged_13213224,20220103,20220417,0,0,0,0,0,0,0
701_merged_13213206,20220103,20220417,0,0,0,0,0,0,0
162503_merged_13213250,20220418,20220626,0,0,0,0,0,0,0
801_merged_13213260,20220418,20220626,0,0,0,0,0,0,0
101_merged_13213254,20220418,20220626,0,0,0,0,0,0,0
1_merged_13213241,20220418,20220626,1,1,1,1,1,0,0
253403_merged_13213243,20220418,20220626,0,0,0,0,0,0,0
401,20220103,20220417,0,0,0,0,0,0,0
1803_merged_13213226,20220103,20220417,0,0,0,0,0,0,0
91202,20220418,20220626,0,0,0,0,0,0,0
2_merged_13213216,20220103,20220417,0,0,0,0,0,1,0
32501_merged_13213214,20220103,20220417,0,0,0,0,0,0,0
62101_merged_13213212,20220103,20220417,0,0,0,0,0,0,0
2001_merged_13213228,20220103,20220417,0,0,0,0,0,0,0
2001_merged_13213258,20220418,20220626,0,0,0,0,0,0,0
152301_merged_13213221,20220103,20220417,0,0,0,0,0,0,0
62201_merged_13213233,20220418,20220626,0,0,0,0,0,0,0
32603_merged_13213204,20220103,20220417,0,0,0,0,0,0,0
62101_merged_13213242,20220418,20220626,0,0,0,0,0,0,0
155601_merged_13213231,20220103,20220417,0,0,0,0,0,0,0
57303,20220418,20220626,0,0,0,0,0,0,0
59001_merged_13213238,20220418,20220626,0,0,0,0,0,0,0
75401_merged_13213248,20220418,20220626,0,0,0,0,0,0,0
1803_merged_13213256,20220418,20220626,0,0,0,0,0,0,0
155601_merged_13213261,20220418,20220626,0,0,0,0,0,0,0
1101_merged_13213259,20220418,20220626,0,0,0,0,0,0,0
152302_merged_13213223,20220103,20220417,0,0,0,0,0,0,0
801_merged_13213230,20220103,20220417,0,0,0,0,0,0,0
59101_merged_13213210,20220103,20220417,0,0,0,0,0,0,0
1201_merged_13213205,20220103,20220417,0,0,0,0,0,0,0
152303_merged_13213252,20220418,20220626,0,0,0,0,0,0,0
HD_merged_13213209,20220103,20220417,1,1,1,1,1,1,1
91203,20220418,20220626,0,0,0,0,0,0,0
1_merged_13213211,20220103,20220417,1,1,1,1,1,0,0
201_merged_13213232,20220418,20220626,0,0,0,0,0,0,0
57302,20220418,20220626,0,0,0,0,0,0,0
201_merged_13213202,20220103,20220417,0,0,0,0,0,0,0
1101_merged_13213229,20220103,20220417,0,0,0,0,0,0,0
169801_merged_13213257,20220418,20220626,0,0,0,0,0,0,0
253403_merged_13213213,20220103,20220417,0,0,0,0,0,0,0
3_merged_13213215,20220103,20220417,0,0,0,0,0,0,1
162503_merged_13213220,20220103,20220417,0,0,0,0,0,0,0
701_merged_13213236,20220418,20220626,0,0,0,0,0,0,0
32501_merged_13213244,20220418,20220626,0,0,0,0,0,0,0
92401,20220418,20220626,0,0,0,0,0,0,0
152201_merged_13213219,20220103,20220417,0,0,0,0,0,0,0
175302,20220418,20220626,0,0,0,0,0,0,0
175303,20220418,20220626,0,0,0,0,0,0,0
162601_merged_13213237,20220418,20220626,0,0,0,0,0,0,0
